ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label
24,Roof shingle removal,A man is sitting on a roof.,he,A man is sitting on a roof. he,"['is using wrap to wrap a pair of skis.', 'is ripping level tiles off.', ""is holding a rubik's cube."", 'starts pulling up roofing on a roof.']",activitynet~v_-JhWjGDPHMY,val,indomain,3
92,Clean and jerk,A lady walks to a barbell. She bends down and grabs the pole.,the lady,A lady walks to a barbell. She bends down and grabs the pole. the lady,"['swings and lands in her arms.', 'pulls the barbell forward.', 'pulls a rope attached to the barbell.', 'stands and lifts the weight over her head.']",activitynet~v_-lJS58hyo1c,val,zeroshot,3
106,Canoeing,"Two women in a child are shown in a canoe while a man pulls the canoe while standing in the water, with other individuals visible in the background.",the child and a different man,"Two women in a child are shown in a canoe while a man pulls the canoe while standing in the water, with other individuals visible in the background. the child and a different man","['are then shown paddling down a river in a boat while a woman talks.', 'are driving the canoe, they go down the river flowing side to side.', 'sit in a canoe while the man paddles.', 'walking go down the rapids, while the man in his helicopter almost falls and goes out of canoehood.']",activitynet~v_-xQvJmC2jhk,val,indomain,2
114,High jump,A boy is running down a track.,the boy,A boy is running down a track. the boy,"['runs into a car.', 'gets in a mat.', 'lifts his body above the height of a pole.', 'stands on his hands and springs.']",activitynet~v_-zHX3Gdx6I4,val,zeroshot,2
116,High jump,The boy lifts his body above the height of a pole. The boy lands on his back on to a red mat.,the boy,The boy lifts his body above the height of a pole. The boy lands on his back on to a red mat. the boy,"['turns his body around on the mat.', 'gets up from the mat.', 'continues to lift his body over the pole.', 'wiggles out of the mat.']",activitynet~v_-zHX3Gdx6I4,val,zeroshot,1
117,High jump,The boy lands on his back on to a red mat. The boy gets up from the mat.,the boy,The boy lands on his back on to a red mat. The boy gets up from the mat. the boy,"['starts doing spins.', 'celebrates by clapping and flexing both arms.', 'is dancing on the mat.', 'does jump jacks on his stick.']",activitynet~v_-zHX3Gdx6I4,val,zeroshot,1
149,Playing harmonica,A man is standing in front of a camera. He starts playing a harmonica for the camera.,he,A man is standing in front of a camera. He starts playing a harmonica for the camera. he,"['begins to play the harmonica with his body while looking at the camera.', 'seems to be singing while playing the harmonica.', 'rocks back and forth to the music as he goes.', 'painted a fence in front of the camera.']",activitynet~v_0RUMAGGab1k,val,zeroshot,2
170,Sumo,A cartoon animation video is shown with people wandering around and rockets being shot.,two men,A cartoon animation video is shown with people wandering around and rockets being shot. two men,"['fight robots of evil and ends with a to be continued.', 'are then shown in closeups shooting a shot put.', 'push a child in a speedboat in the water.', ""look in the cameraman's eye and smile.""]",activitynet~v_0WVkoTBmhA0,val,indomain,0
180,Sharpening knives,A man is holding a pocket knife while sitting on some rocks in the wilderness.,then he,A man is holding a pocket knife while sitting on some rocks in the wilderness. then he,"['opens a can of oil put oil on the knife, and puts oil on a knife and press it through a can filled with oil then cuts several pieces from the sandwiches.', 'takes a small stone from the flowing river and smashes it on another stone.', 'uses the knife to shave his leg.', 'sand the rocks and tops them by using strong pressure.']",activitynet~v_0bosp4-pyTM,val,zeroshot,1
182,Sharpening knives,Then he takes a small stone from the flowing river and smashes it on another stone. He starts to crush the small stone to smaller pieces.,he,Then he takes a small stone from the flowing river and smashes it on another stone. He starts to crush the small stone to smaller pieces. he,"['cuts the center stone in half and blow it on to make it bigger.', 'grind it hard to make the pieces smaller.', 'eventually brings it back into view and adds it to the smaller ones to make a small triangular shaped piece.', 'starts to party with them and throw the pieces by hand while they celebrate.']",activitynet~v_0bosp4-pyTM,val,zeroshot,1
